Id,Inode,Jnode,LatitudIn,LongitudIn,LatitudJn,LongitudJn
5669-5670,5669,5670,6.16815467446176,-75.6230771877828,6.16860432967917,-75.6227526345541
5669-6033,5669,6033,6.16815467446176,-75.6230771877828,6.16737309735682,-75.6237861855606
5670-5669,5670,5669,6.16860432967917,-75.6227526345541,6.16815467446176,-75.6230771877828
5670-4430,5670,4430,6.16860432967917,-75.6227526345541,6.16945978457943,-75.6253620213958
5670-6029,5670,6029,6.16860432967917,-75.6227526345541,6.1683685359282,-75.621851183943
5671-5672,5671,5672,6.18015950034171,-75.6107945674199,6.18148967383089,-75.6123745509377
5671-4652,5671,4652,6.18015950034171,-75.6107945674199,6.1794408772149,-75.6097050249087
5671-4654,5671,4654,6.18015950034171,-75.6107945674199,6.18137492118657,-75.6090163823757
5672-6344,5672,6344,6.18148967383089,-75.6123745509377,6.18288135144577,-75.6123181431992
5672-3062,5672,3062,6.18148967383089,-75.6123745509377,6.17687235266564,-75.6117169182584
5672-5671,5672,5671,6.18148967383089,-75.6123745509377,6.18015950034171,-75.6107945674199
5673-4833,5673,4833,6.18125397965801,-75.5978005515892,6.18197857450254,-75.5989179782401
5673-3044,5673,3044,6.18125397965801,-75.5978005515892,6.18223202142883,-75.5968684392734
5673-3047,5673,3047,6.18125397965801,-75.5978005515892,6.17996301201989,-75.5987235800769
5674-6256,5674,6256,6.17626092545036,-75.5970387002028,6.17700475807251,-75.596636801706
5674-4746,5674,4746,6.17626092545036,-75.5970387002028,6.17592968089515,-75.5964656666738
5674-6324,5674,6324,6.17626092545036,-75.5970387002028,6.17630165753824,-75.5953080132042
5674-6326,5674,6326,6.17626092545036,-75.5970387002028,6.1764477351524,-75.597363927365
5675-3048,5675,3048,6.17727599348794,-75.5956948938925,6.17825823428818,-75.5975714781624
5675-6256,5675,6256,6.17727599348794,-75.5956948938925,6.17700475807251,-75.596636801706
5676-3048,5676,3048,6.17955013916492,-75.5990105965578,6.17825823428818,-75.5975714781624
5676-6229,5676,6229,6.17955013916492,-75.5990105965578,6.17816378703618,-75.5993772674628
5676-3047,5676,3047,6.17955013916492,-75.5990105965578,6.17996301201989,-75.5987235800769
5677-3483,5677,3483,6.17467523742028,-75.6120524183006,6.17255829884018,-75.6121521134959
5677-4485,5677,4485,6.17467523742028,-75.6120524183006,6.17477532726875,-75.6132799495545
5677-3062,5677,3062,6.17467523742028,-75.6120524183006,6.17687235266564,-75.6117169182584
5677-4391,5677,4391,6.17467523742028,-75.6120524183006,6.17453309812357,-75.6109565687107
5678-6738,5678,6738,6.19259940572354,-75.5976873075097,6.19370975647007,-75.5968880689613
5678-6247,5678,6247,6.19259940572354,-75.5976873075097,6.19149222953603,-75.5984519391885
5678-3108,5678,3108,6.19259940572354,-75.5976873075097,6.19226418147174,-75.5966075053762
5678-4431,5678,4431,6.19259940572354,-75.5976873075097,6.19373473860497,-75.5997310298391
5679-6244,5679,6244,6.19543386036206,-75.5970361323569,6.19361987321557,-75.5953322451955
5679-4431,5679,4431,6.19543386036206,-75.5970361323569,6.19373473860497,-75.5997310298391
